0;16 линия;{"name": "16 линия"}
1;18 линия;{"name": "18 линия"}
2;50 лет победы;{"name": "50 лет победы"}
3;9 го января;{"name": "9 го января"}
4;9 –го января;{"name": "9 –го января"}
5;9го января;{"name": "9го января"}
6;Абаканская;{"name": "Абаканская"}
7;Абая;{"name": "Абая"}
8;Абдраева;{"name": "Абдраева"}
9;Абдраимова;{"name": "Абдраимова"}
10;Абдрахманова;{"name": "Абдрахманова"}
11;Абдумомунова;{"name": "Абдумомунова"}
12;Абдыкадырова;{"name": "Абдыкадырова"}
13;Абдымомунова;{"name": "Абдымомунова"}
14;Авангардный;{"name": "Авангардный"}
15;Адырская;{"name": "Адырская"}
16;Адырский;{"name": "Адырский"}
17;Адырский «А»;{"name": "Адырский «А»"}
18;Адышева;{"name": "Адышева"}
19;Ажыбек Баатыра;{"name": "Ажыбек Баатыра"}
20;Азаттык;{"name": "Азаттык"}
21;Азовская;{"name": "Азовская"}
22;Ай - Кол;{"name": "Ай - Кол"}
23;Айдаралиева;{"name": "Айдаралиева"}
24;Айни;{"name": "Айни"}
25;Айтматова;{"name": "Айтматова"}
26;Ак - Жолтой;{"name": "Ак - Жолтой"}
27;Акбуринский;{"name": "Акбуринский"}
28;Акмуз;{"name": "Акмуз"}
29;Ак-Сайская;{"name": "Ак-Сайская"}
30;Акталинский;{"name": "Акталинский"}
31;Актерекский;{"name": "Актерекский"}
32;Актюбинский;{"name": "Актюбинский"}
33;Ала - Букинская;{"name": "Ала - Букинская"}
34;Ала - Тоо;{"name": "Ала - Тоо"}
35;Ала-Арчинская;{"name": "Ала-Арчинская"}
36;Алайский;{"name": "Алайский"}
37;Аламединский;{"name": "Аламединский"}
38;Аларчинская;{"name": "Аларчинская"}
39;Александровский;{"name": "Александровский"}
40;Алма- Атинская;{"name": "Алма- Атинская"}
41;Алтайский;{"name": "Алтайский"}
42;Алтымышева;{"name": "Алтымышева"}
43;Алтымышова;{"name": "Алтымышова"}
44;Алтын - Бешик;{"name": "Алтын - Бешик"}
45;Алыкулова;{"name": "Алыкулова"}
46;Альпинская;{"name": "Альпинская"}
47;Аммосова;{"name": "Аммосова"}
48;Амосова;{"name": "Амосова"}
49;Амурский;{"name": "Амурский"}
50;Ананьева;{"name": "Ананьева"}
51;Ангарский;{"name": "Ангарский"}
52;Андижанская;{"name": "Андижанская"}
53;Андижанский;{"name": "Андижанский"}
54;Араванская;{"name": "Араванская"}
55;Аральский;{"name": "Аральский"}
56;Арасанский;{"name": "Арасанский"}
57;Арзамасская;{"name": "Арзамасская"}
58;Армавирская;{"name": "Армавирская"}
59;Армейская;{"name": "Армейская"}
60;Артемовская;{"name": "Артемовская"}
61;Архангельская;{"name": "Архангельская"}
62;Асаналиева;{"name": "Асаналиева"}
63;Астраханская;{"name": "Астраханская"}
64;Астраханский;{"name": "Астраханский"}
65;Атбасарский;{"name": "Атбасарский"}
66;Ат-Башинский;{"name": "Ат-Башинский"}
67;Ауэзова;{"name": "Ауэзова"}
68;Ахунбаева;{"name": "Ахунбаева"}
69;Ашхабадская;{"name": "Ашхабадская"}
70;Ашхабадский;{"name": "Ашхабадский"}
71;Аэродромный;{"name": "Аэродромный"}
72;Б. Баатыра;{"name": "Б. Баатыра"}
73;Бабушкин;{"name": "Бабушкин"}
74;Багишский;{"name": "Багишский"}
75;Багратиона;{"name": "Багратиона"}
76;Баетова;{"name": "Баетова"}
77;Базар-Курганская;{"name": "Базар-Курганская"}
78;Базарный;{"name": "Базарный"}
79;Байтик Баатыра;{"name": "Байтик Баатыра"}
80;Бакаева;{"name": "Бакаева"}
81;Бакинская;{"name": "Бакинская"}
82;Бакинский;{"name": "Бакинский"}
83;Балтагулова;{"name": "Балтагулова"}
84;Балтийская;{"name": "Балтийская"}
85;Балханский;{"name": "Балханский"}
86;Балык-Кумара;{"name": "Балык-Кумара"}
87;Балыкчинский;{"name": "Балыкчинский"}
88;Барнаульский;{"name": "Барнаульский"}
89;Баррикадный;{"name": "Баррикадный"}
90;Барскаунский;{"name": "Барскаунский"}
91;Баткенский;{"name": "Баткенский"}
92;Батыра;{"name": "Батыра"}
93;Баха;{"name": "Баха"}
94;Баялинова Касымалы;{"name": "Баялинова Касымалы"}
95;Беговой;{"name": "Беговой"}
96;Бейшеналиева;{"name": "Бейшеналиева"}
97;Бектенова;{"name": "Бектенова"}
98;Белгородская;{"name": "Белгородская"}
99;Белозерский;{"name": "Белозерский"}
100;Беломорский;{"name": "Беломорский"}
101;Белорусская;{"name": "Белорусская"}
102;Бельская;{"name": "Бельская"}
103;Береговая;{"name": "Береговая"}
104;Береговой;{"name": "Береговой"}
105;Березовая;{"name": "Березовая"}
106;Берликский;{"name": "Берликский"}
107;Беш-Кунгейский;{"name": "Беш-Кунгейский"}
108;Библиотечная;{"name": "Библиотечная"}
109;Бийский;{"name": "Бийский"}
110;Боконбаева;{"name": "Боконбаева"}
111;Болотная;{"name": "Болотная"}
112;Больничный;{"name": "Больничный"}
113;Боомский;{"name": "Боомский"}
